course_code,course_title,subject,subject_name,course_number
ARCHDES 702,Adaptive Reuse,ARCHDES,Architectural Design,702
ARCHDES 703,Advanced Design in Housing,ARCHDES,Architectural Design,703
ARCHDES 796A,Thesis,ARCHDES,Architectural Design,796A
ARCHDES 796B,Thesis,ARCHDES,Architectural Design,796B
ARCHDES 797A,Thesis,ARCHDES,Architectural Design,797A
ARCHDES 797B,Thesis,ARCHDES,Architectural Design,797B
ARCHDRC 104,Architectural Media 2,ARCHDRC,Architectural Media& Fabricatn,104
ARCHDRC 203,Architectural Media 3,ARCHDRC,Architectural Media& Fabricatn,203
ARCHDRC 700,Advanced Digital Fabrication,ARCHDRC,Architectural Media& Fabricatn,700
ARCHDRC 701,Timber Fabrication,ARCHDRC,Architectural Media& Fabricatn,701
ARCHDRC 702,Special Topic: Architectural Drawing,ARCHDRC,Architectural Media& Fabricatn,702
ARCHDRC 703,Special Topic,ARCHDRC,Architectural Media& Fabricatn,703
ARCHDRC 704,Digital Reconstruction of Buildings,ARCHDRC,Architectural Media& Fabricatn,704
ARCHGEN 702,Research Process,ARCHGEN,Architecture General,702
ARCHGEN 703,Design as Research,ARCHGEN,Architecture General,703
ARCHGEN 704,Directed Study,ARCHGEN,Architecture General,704
ARCHGEN 711,Special Topic,ARCHGEN,Architecture General,711
ARCHGEN 712,Special Topic,ARCHGEN,Architecture General,712
ARCHGEN 713,Special Topic,ARCHGEN,Architecture General,713
ARCHGEN 714,Special Topic,ARCHGEN,Architecture General,714
ARCHGEN 715,Special Topic,ARCHGEN,Architecture General,715
ARCHGEN 733,Public Urban Space in the Contemporary City,ARCHGEN,Architecture General,733
ARCHGEN 744,Special Topic,ARCHGEN,Architecture General,744
ARCHGEN 750,Heritage Processes,ARCHGEN,Architecture General,750
ARCHGEN 751,Heritage Assessment and Conservation Planning,ARCHGEN,Architecture General,751
ARCHGEN 752,Conservation of Materials,ARCHGEN,Architecture General,752
ARCHGEN 753,Diagnosis and Adaptation,ARCHGEN,Architecture General,753
ARCHGEN 754,Research Project,ARCHGEN,Architecture General,754
ARCHGEN 790,Research Project,ARCHGEN,Architecture General,790
ARCHGEN 790A,Research Project,ARCHGEN,Architecture General,790A
ARCHGEN 790B,Research Project,ARCHGEN,Architecture General,790B
ARCHGEN 793A,Thesis,ARCHGEN,Architecture General,793A
ARCHGEN 793B,Thesis,ARCHGEN,Architecture General,793B
ARCHGEN 795A,Thesis,ARCHGEN,Architecture General,795A
ARCHGEN 795B,Thesis,ARCHGEN,Architecture General,795B
ARCHGEN 799,Research Report,ARCHGEN,Architecture General,799
ARCHGEN 799A,Research Report,ARCHGEN,Architecture General,799A
ARCHGEN 799B,Research Report,ARCHGEN,Architecture General,799B
ARCHHTC 102,Modern Architecture and Urbanism,ARCHHTC,"Architectural History, Theory",102
ARCHHTC 237,Postmodern and Contemporary Architecture and Urbanism,ARCHHTC,"Architectural History, Theory",237
ARCHHTC 341,Premodern Architecture and Urbanism,ARCHHTC,"Architectural History, Theory",341
ARCHHTC 376,Directed Study,ARCHHTC,"Architectural History, Theory",376
ARCHHTC 700,Pacific Architecture,ARCHHTC,"Architectural History, Theory",700
ARCHHTC 701,Architecture and Political Philosophy,ARCHHTC,"Architectural History, Theory",701
ARCHHTC 702,History of Housing in Aotearoa New Zealand,ARCHHTC,"Architectural History, Theory",702
ARCHHTC 704,Special Topic,ARCHHTC,"Architectural History, Theory",704
ARCHPRM 305,Project Management,ARCHPRM,Architectural Professional Stu,305
ARCHPRM 700,Project Management,ARCHPRM,Architectural Professional Stu,700
ARCHPRM 701,Practice Management,ARCHPRM,Architectural Professional Stu,701
ARCHPRM 702,Architectural Project Management,ARCHPRM,Architectural Professional Stu,702
ARCHPRM 703,Transnational Professional Practice,ARCHPRM,Architectural Professional Stu,703
ARCHPRM 704,Special Topic,ARCHPRM,Architectural Professional Stu,704
ARCHPRM 705,Special Topic,ARCHPRM,Architectural Professional Stu,705
ARCHTECH 207,Design Technology 1,ARCHTECH,Architectural Tech & Sustainab,207
ARCHTECH 210,Environmental Design 1,ARCHTECH,Architectural Tech & Sustainab,210
ARCHTECH 314,Environmental Design 2,ARCHTECH,Architectural Tech & Sustainab,314
ARCHTECH 315,Design Technology 2,ARCHTECH,Architectural Tech & Sustainab,315
ARCHTECH 706,Building Materials and Technologies,ARCHTECH,Architectural Tech & Sustainab,706
ARCHTECH 707,Designing with Resilience Thinking,ARCHTECH,Architectural Tech & Sustainab,707
ARCHTECH 708,Advanced Building Technologies,ARCHTECH,Architectural Tech & Sustainab,708
ARCHTECH 709,Sustainable and Healthy Housing,ARCHTECH,Architectural Tech & Sustainab,709
ARCHTECH 710,Special Topic,ARCHTECH,Architectural Tech & Sustainab,710
ARTHIST 114,Understanding Art: Leonardo to Warhol,ARTHIST,Art History,114
ARTHIST 115,Global Art Histories,ARTHIST,Art History,115
ARTHIST 201,Art and Revolution 1750-1850,ARTHIST,Art History,201
ARTHIST 204,Ways of Seeing Contemporary Art,ARTHIST,Art History,204
ARTHIST 210,Modernism and Design,ARTHIST,Art History,210
ARTHIST 217,"Pacific Perspectives: Art, Identity and Social Change",ARTHIST,Art History,217
ARTHIST 224,Power and Piety: the Baroque,ARTHIST,Art History,224
ARTHIST 225,Imaging the Renaissance,ARTHIST,Art History,225
ARTHIST 230,Art Crime,ARTHIST,Art History,230
ARTHIST 231,Framing the Viewer: 20th Century Art,ARTHIST,Art History,231
ARTHIST 233,The Art of Gender Politics,ARTHIST,Art History,233
ARTHIST 235,Contemporary Art in Aotearoa NZ,ARTHIST,Art History,235
ARTHIST 236,Artists and Patrons in Renaissance Italy,ARTHIST,Art History,236
ARTHIST 238,Māori Art History: Mana Taonga,ARTHIST,Art History,238
